Position,Job Type,Rate,Location,Recruiter,Reference,Description,Python,Power BI,SQL,R,Azure,Tableau,AWS,Google Analytics,Machine Learning
Data Engineer,Contract,450.0,Bristol,Proactive Appointments,JS18803JS2," Data Engineer - Apache Airflow - Outside IR35 Our client urgently requires an experienced Data Engineer to join their team on a contract basis, initially for 3 months with a view to extend. The Data Engineer will be able to work remotely, with spending at least one or two days per week on-site in Bristol.Please note, this assignment is Outside IR35. Data Engineer - Apache Airflow - Key Skills:  Apache Airflow - ideally implementation/deployment of the softwareData Pipelines - Automating SQL and Python ScriptsData IntegrationData Orchestration  Data Engineer - Apache Airflow  Due to the volume of applications received for positions, it will not be possible to respond to all applications and only applicants who are considered suitable for interview will be contacted.  Proactive Appointments Limited operates as an employment agency and employment business and is an equal opportunities organisation   We take our obligations to protect your personal data very seriously. Any information provided to us will be processed as detailed in our Privacy Notice, a copy of which can be found on our website ",1,0,1,0,0,0,0,0,0
Data Engineer,Contract,440.0,Bristol,Proactive Appointments,JS18803JS," Data Engineer - Apache Airflow - Outside IR35 Our client urgently requires an experienced Data Engineer to join their team on a contract basis, initially for 3 months with a view to extend. The Data Engineer will be able to work remotely, with spending at least one or two days per week on-site in Bristol.Please note, this assignment is Outside IR35. Data Engineer - Apache Airflow - Key Skills:  Apache Airflow - ideally implementation/deployment of the softwareData Pipelines - Automating SQL and Python ScriptsData IntegrationData Orchestration  Data Engineer - Apache Airflow  Due to the volume of applications received for positions, it will not be possible to respond to all applications and only applicants who are considered suitable for interview will be contacted.  Proactive Appointments Limited operates as an employment agency and employment business and is an equal opportunities organisation   We take our obligations to protect your personal data very seriously. Any information provided to us will be processed as detailed in our Privacy Notice, a copy of which can be found on our website ",1,0,1,0,0,0,0,0,0
Data Analyst,Contract,425.0,England,Spinks a trading division of Harvey Nash Plc,JS-BBBH77410,"Data Analyst - Contract, inside IR35, remote, £400-450 a day I'm looking for a Data Analyst to join a well-known Digital Agency that has worked across retail, tech, auto and finance, on a 3-6 month initial contract to work on a unique product pipeline.You will have:Experience using SQLExperience with Insight delivery through Excel/Powerpoint/other as well as report design and delivery experienceExperience with Python/Pyspark Exposure to Google Analytics and Power BI or similar reporting tools would be a bonusIf you are interested to find out more, apply now for immediate consideration, interview and start.",1,1,1,0,0,0,0,1,0
Data Engineer,Permanent,37500.0,Hybrid,Reed Technology,JS-X3-736091,"DATA CAPTURE | SOFTWARE ENGINEER | OPTICAL CHARACTER RECOGNITION | OCR | ABBYY | FINEREADER | IMAGE CAPTURE | SQL | .NET | PYTHON | PHP | DEVOPS | REMOTEData Capture Engineer - £45K A reputable SaaS business and solution provider is looking for Data Capture Engineer to provide development expertise and assistance with Data Capture using OCR, SQL, and Image Capture, fully remote paying up to £45k.Key aspects of the Data Capture Engineer role: Assist with Data Capture, OCR Workflow. Contribute to data updates and enhancements. Provide occasional 1st line support with existing customers. Liaise with member of DevOps and application development team.Experience required for the Data Capture Engineer: Knowledge of OCR - ABBYY, FineReader. Experience using SQL. Skills with Image Capture. Commercial 1st line support background. Exposure to .NET, Python or PHP is desirable.If this is applicable to you or you know of a colleague/friend that this may be of interest to, please get in touch and send an email DATA CAPTURE | SOFTWARE ENGINEER | OPTICAL CHARACTER RECOGNITION | OCR | ABBYY | FINEREADER | IMAGE CAPTURE | SQL | .NET | PYTHON | PHP | DEVOPS | REMOTE",1,0,1,0,0,0,0,0,0
Data Architect,Contract,450.0,England,Roc Search Limited,JS-EH-0001,Data Architect - Contract - RemoteA key client of mine has an urgent requirement for Data Architects with FS/Investment management background for a cutting edge Data Transformation programmeThe role will be fully remote and looking to take someone on immediately.Ideally someone with 4+ years with data architecture experience and MUST have previous banking/wealth/insurance industry background.Day rate: £450/dayImmediate startsIf interested please apply through this advert at your earliest convenience for consideration.,0,0,0,0,0,0,0,0,0
Data Engineer,Contract,675.0,Remote,Anson McCade Ltd,JSAMC/BPY/043,Data Engineer - Contract - Fully Remote I am currently working with the UK's leading defence consultancy to recruit an SC Cleared Data Engineer. The Data Engineer will be working with Azure and will be going into a central government department to work on a project of high importance. Requirements:  Azure Data Bricks Python SC Clearance  What you can Expect:  6 months Rolling Fully Remote Inside IR35 Start date: ASAP  If you are a Data Engineer please apply if interested!,1,0,0,0,1,0,0,0,0
Data Analyst,Contract,590.5,Remote,Elevate Direct,JSIDIBU-16626,"Data AnalystRate - £513.75 PAYE/£667 Umbrella per dayLocation- RemoteContract- 6 months Key Responsibilities:Overall Role Responsibilities:Using automated or manual tools to extract data from data sourcesRemoving corrupted data and fixing coding errors and related problemsDeveloping and maintaining databases, data systems - reorganizing data in a readable formatPerforming analysis to assess quality and meaning of dataFilter Data by reviewing reports and performance indicators to identify and correct code problemsUsing statistical tools to identify, analyse, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and predictionAssigning numerical value to essential business functions so that business performance can be assessed and compared over periods of time.Analysing local, national, and global trends that impact both the organization and the industryPreparing reports for the management stating trends, patterns, and predictions using relevant dataWorking with programmers, engineers, and management heads to identify process improvement opportunities, propose system modifications and other data improvementsPreparing final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to take important decisions based on various facts and trendsKey Experience/Skills:Experience and skills that are required for this role are as follows:Data analytics background preferably in ITIT Operations experienceUnderstanding of data sets from various sources in IT (eg Active Directory, SCCM, etc)",0,0,0,0,0,0,0,0,0
Data Architect,Permanent,70000.0,Hybrid,Jenrick - IT,JSDATAARCH,"Data Architect (Security Clearance required) Location: On Site (Multiple offices in South East England)Job type: Permanent Salary: £60,000 - £80,000 (Plus bonus and benefits)We are working with a national leader in the IT consulting sector. They are an independent firm, that provide both business and technical services to the UK public sector, including departments such as the Ministry of Defence, Ministry of Justice and the National Health Service. They specialise in design, procurement and delivery of digital services and associated business change activities, and they help their clients to determine and resolve management and tech issues and also find new opportunities to improve services and performance.  You would be working as an Data Architect, in this role you will be given the opportunity to support a range of high-profile UK public sector organisations, you will help enable these organisations to gain the maximum benefit from their technology investments, and whilst doing this you would be playing a key role in critical national projects and making a real positive difference to peoples everyday lives.  What you will be doing:  Creating outcomes to deliver client goals in major business transformation programmes.Using hands-on analysis, working with clients, users and other team members to address issues before they become blockers.Translating business requirements into technical specifications, including data streams, integrations, transformations, databases, and data warehouses.Defining the data architecture framework, standards and principles, including modelling, metadata, security, reference data such as product codes and client categories, and master data such as clients, vendors, materials, and employees.Defining reference architecture, which is a pattern that others can follow to create and improve data systems;Defining data flows.Offering advice on potential solutions and products to solve and enhance client data and analytical reporting capabilities.Collaborating and coordinating with multiple departments, stakeholders, partners, and external vendors. What we need from you: Experience in at least 2 of the following methods and standards:  Data architecture and modelling;Cloud analytics platforms eg relevant Azure platform services.Data visualisation tools eg Power BI, Qlik Sense.Data science approaches and tooling eg Spark.Data engineering approaches.Government Digital Service approaches including the Government Service Design Manual and the Service Standard.Enterprise or Solution architecture development using a recognised framework eg TOGAF.Business or systems analysis methods and tools, eg BPMN, UML.Software development methods and techniques eg Agile methods such as SCRUM.Public sector best practice guidance, eg ITIL, OGC toolkit.Business case development to Treasury guidelines.Knowledge of MoD/Defence desirable but not essential. * Candidates MUST have or be eligible and willing to gain UK Security Clearance to apply for this position.*",0,1,0,0,1,0,0,0,0
Data Architect,Contract,600.0,Remote,Uniting Ambition,JSJK2000,"Data Architect ContractOutside IR353 months + (extensions likely)£550.00 - £650.00 p/dASAP StartFully Remote My client is seeking a talented, experienced, and driven Data Architect .Experience/Skills required:- Python - Essential - Snowflake or Synaps or Big Query - Essential - Redshift - Essential - AWS - EssentialDesirable - Experience in MySQL, SQL Server, Big Data, ADS Data Architect ",1,0,1,0,0,0,1,0,0
Data Analyst,Permanent,45000.0,London,Lorien,JS-BBBH23724,"Data Visualisation and Automation AnalystMy client, a multinational, multi-brand business serving millions of customers a day within the retail sector are currently seeking a new Data Visualisation and Automation Analyst to join their high calibre Applied Data & Analytics team and bring on their expertise to stretch their imagination of what the power of data and insights can contribute to their current way of working.As a Data Visualisation and Automation Analyst, you'll use the data to deliver value to the organisation across all aspects of the business, delivering a range of scalable data products to various business units to help solve complex business challenges and ultimately help the organisation to become more data-centric.Responsibilities IncludeWork with product owners in relevant squads to create an automation, reporting and visualisation backlogWork with the product owner to understand where the biggest value-creating opportunities lie and then deliver both POC's and productionised reporting capabilities that fulfil the requirementsPrioritise requirements and produce a road map of activities, with product owners, which will deliver in a timely, cost-effective and highly repeatable way for your stakeholdersManage and lead a team, both on- and off-shore, to deliver outstanding products on-time, to budget and specificationKey SkillsA strong understanding of the tools and technologies that can support great reporting, including Microstrategy, PowerBI and TableauMust also have strong experience and understanding of SQLA strong understanding of the tools and technologies that can support great reporting, automation and visualisationLorien Plc is acting as an Employment Agency in relation to this vacancy.",0,1,1,0,0,1,0,0,0
Data Architect,Permanent,105000.0,London,Tiro Partners,JS-BBBH3235,"Data Architect/Big Data/Data Lakes/Spark/Kafka/snowflake/Databricks/Azure/AWSRole: Data ArchitectLocation: Remote - LondonPackage: £110,000 + 20 % bonus + SharesCompany: FinTechData Architect/Big Data/Data Lakes/Spark/Kafka/snowflake/Databricks/Azure/AWSWhat you'll be doing: Provide thought leadership in identifying pragmatic and innovative solutions that are balanced against project timeframes, available budgets, and future capabilityDevelop and enhance enterprise-wide data model to capture business concepts required to service full customer journey life cycle, eliminating departmental data silosTranslate the business requirements into technology specifications, including data streams, integrations, transformations, databases, and data warehouses (Big Data/Data Lakes/Spark/Kafka/snowflake)Evaluate and implement fit for purpose tools and processesRequirements: Extensive hands-on experience working with cloud-based data warehousing technologies eg Redshift, Snowflake, Databricks, etc and ELT tools eg Talend, Informatica, DBT, Spark, KafkaSQL skills and ability to create queries to extract and build tables.Experience working in a cloud environment (Azure, AWS OR GCP)Data Architect/Big Data/Data Lakes/Spark/Kafka/snowflake/Databricks/Azure/AWS",0,0,1,0,1,0,1,0,0
Data Engineer,Contract,750.0,London,Oliver Bernard,JS-89762472,"Data Platform Engineer - Remote - Retail/E-commerceOliver Bernard are currently working with a Retail/E-commerce house to seek a Platform Engineer with Data/DataOps experience to work across a large, established team and enhance their Cloud and Data infrastructure through a series of Greenfield projects.Ideally, the incoming contractor will be operating at the Senior level, capable of bringing new ideas to the table and encouraging/advocating for best practices across several Azure, Terraform, Kafka & Cassandra focused DataOps/DevOps projects.This is a 6 month contract and requires the following experience:Extensive experience with Azure Cloud IaC with Terraform Strong experience with Kafka or CassandraCI/CD with TeamCity, Azure DevOps (or equivalent)Knowledge of Networking and Security practicesThis contract is for 6 months, inside IR35, and can offer £700 - 800 p/day for the right profile.Data Platform Engineer - Remote - Retail/E-commerce",0,0,0,0,1,0,0,0,0
Data Engineer,Permanent,70000.0,London,Venturi Limited,JS-BBBH85264 - RK - DE,"Data Engineer - £45,000 - £95,000What makes this Data Engineer position different?Work in a standout consultancy company with big plans to redefine consulting for betterBe apart reputable and fast growing start up company whilst working with tight knit team who are all experts in their positionPlay a big part in the team by producing high quality and high impact analytical work for clientsYou can expect top quality training with the mind set of setting a Gold Standard to other data companies with opportunities to gain further professional training and certificationsThere is a generous salary up for grabs, with the range being between £45,000 - £95,000 dependent on your experienceYour own tailored progression plan to help you develop further into your careerAlthough this role is NOT fully remote, there is a lot of flexibility around this to discuss an ideal balance for you to work.Again, the package for the Data Engineer position will range between £45,000-£95,000 plus discretionary bonus and benefits.Skills and experience required:Experience of using Python & SQL to design and implement well designed codeExperience of using Kimball methodology to design well structured tables at the correct grain and structured for widespread useThe ability to communicate clearly for stakeholder management and ability to travel to client sitesExpertise in using modern data tools, eg, Azure, Spark, DatabricksThis is an excellent opportunity for a Data Engineer to join this highly reputable company who have had progressed to be working with some of the most well-known companies in the world! To find out more, please send your CV to Georgia Hilleard for review.",1,0,1,0,1,0,0,0,0
Data Engineer,Permanent,70000.0,London,Lorien,JS-BBBH23676,"Data EngineerMy client, a new unique digital bank, are seeking for a data engineer to work closely with internal stakeholders to gather new technology and strategies that will help in turning their raw data into actionable insights.The RoleAs a data engineer, you'll play a key part in supporting the growth of the bank by using your experience within data engineering to design, manage, and support the associated toolsets and infrastructure.Ideal Candidate must have:Strong Data Engineering experienceStrong working knowledge of AWS cloud (Kinesis, Redshift, Quicksight)Extensive hands-on experience working with AWS DynamoDB.Experience working with AWS Athena.Experience in Scripting languages such as Python.Familiar with working with Gitlab CI/CD to support the deployment of applications across cloud infrastructure.Experience working with both SQL and NoSQL databases.Great communication skills.*Please apply if you have the above skill-set and experience*Lorien Plc is acting as an Employment Agency in relation to this vacancy.",1,0,1,0,0,0,1,0,0
Data Analyst,Permanent,51500.0,London,i3 Resourcing,JS-BZLY;MS;DA,"Data AnalystCity of LondonPermanent£50,000 - £53,000Data Analyst, Data Analysis, Accurate, Numerate, Technical, MS Office, Excel, Access, Qlik, Power BI, Reports, Reporting, Business Strategy, Agile, DataWork within the Data Function as a Data Analyst to help drive the business outcomes, integral to attaining corporate and data strategy. Provide the data behind key reports, improve data processes, perform analysis and help with strategic data projects. Work within a business analysis and data reporting capacity.Skillset required:AccurateNumerateAnalyticalTechnicalMS OfficeExcelAccessReporting - Qlik Power BIData AnalystCity of LondonPermanent£50,000 - £53,000",0,1,0,0,0,0,0,0,0
Data Analyst,Permanent,50000.0,London,ARC IT Recruitment,JS-RC8435,"Data Analyst/ModellerLondon/HybridCirca £50k + bonus + benefitsSQL, ETL, ModellingJunior Data Modeller required by thriving insurance group in the City of London. The successful candidate will play a pivotal part in producing technical requirements detailing the appropriate technical specification to support new requirements including source to target mappings and business cases. You will work closely with Data Architects, Business Analysts, Data Governance and ETL teams.ResponsibilitiesResponsible for composing data requirements, process flows and design into clear and consistent documentations.Document and maintain data lineage.Work with various business stakeholders to understand their needs and help to translate them into clear data requirements.Help to design, maintain and document key database schemas to ensure they meet requirements.Help maintain the integrity and security of all databases used by the groupHelp to ensure up to date records are maintained at all times on the group systems.RequirementsExperience of working as ETL Developer, Data Analyst or similar role (at least 5 years).Good knowledge of data warehouse dimensional modelling using Kimball methodology.Experience in source to target mappings.Able to compose requirements, process flows, and design into clear documentation.Strong proficiency in Microsoft SQL Server (including the ability to query and investigate the data).Experience in implementing ETL processes (including extracting, merging, and incrementally loading data).Good understanding and creating entity-relationship models.Exposure to other MS Products/platforms/technologies and tools.BA/BSc degree in Computer Information Sciences or related field.Strong interpersonal and problem-solving skills. For a full consultation on this role please email your CV to Arc IT ASAP.",0,0,1,0,0,0,0,0,0
Data Analyst,Permanent,60000.0,London,ARC IT Recruitment,JS-RC8472,"Data Governance Analyst London, Hybrid £60k plus benefits plus bonusData Governance Analyst is required by vibrant growth data team within Insurance organisation to support the implementation of Data Governance framework and to help embed a culture of excellence in Data Governance within the company. As DG Analyst you will work under guidance of Data Governance Lead, supporting and delivering large-scale insurance data projects.Key Responsibilities:Collaborate with other teams in the business to implement good Data Governance practices.Support management of elements of the Data Governance framework.Help to coordinate the development of a wide metadata management tool (including workflow set up, population of report catalogue etc.).Assist in existing content migration (eg data dictionaries stored elsewhere) into the tool.Handle the documentation, implementation and compliance of specific data requirements and policies (eg the Data Dictionary for key data repositories, Business Glossary, report specifications, data extracts etc.).Assist controls around access to data and reporting on their operating effectiveness.Contribute to the existing programmes of work from Data Governance perspective (Master Data Management Project (Reltio), Data Governance (Collibra), Data Platform etc.). Help to ensure that Data Owners and Data Stewards are suitably trained to carry out their activities.Key Requirements:Experience of working as Data Governance Analyst or similar role (at last 2 years).Solid grasp of current IT Security standards (eg ISO 27001, GDPR, PCI, UKGC, Data Protection).Experience of Data Governance approaches and practices in large organisation(s).Experience working with business, data and technical teams to clearly document Data Governance and metadata requirements.Experience of assisting in the implementation of Data Governance projects in a large organisation.Experience of working in an Agile project environment.Good communication skills with both business and technical stakeholders.A self-starter who can handle multiple priorities.Able to articulate sophisticated technical themes to business partners.High attention to detail whilst understanding the bigger picture. Strong problem solving skills.Experience with Data Governance tools (eg Collibra, Informatica, Orchestra Networks etc.).Experience with master data management and reference data capabilities (eg Reltio, Maestro MDS etc.).For a full consultation on this role please email your CV to Arc IT Recruitment. ",0,0,0,0,0,0,0,0,0
