,Position,Job Type,Rate,Location,Recruiter,Reference,Description
10,Data Link Systems Engineer,Contract,£60 per hour,"Stevenage, Hertfordshire, UK",Yolk Recruitment,JSBH-28000-4,"Data Link Systems Engineer - INSIDE IR35 - £60 per hour - 6 months (extensions are likely) - Stevenage - SC cleared - ONE STAGE VIRTUAL INTERVIEW - Hotel expenses paid for contract duration Yolk Recruitment are looking for a data link system engineer to join an exciting defence and aerospace company that is working on innovative technologies found nowhere else in the U.K.You will be part of a highly skilled and motived engineers working on the cutting-edge of defence technologies. The role is for an initial 6-month period but extensions are likely.  Responsibilities:Responsible for systems engineering, requirements definition and validation of the products Datalink, accountable to the Datalink CofEx Systems Lead.Elicit and understand customer needs to develop a complete and coherent system design solution.Develop and refine in collaboration with the Mechanical, Electronic and Software Design Leads, the internally generated requirements for the equipment.Skillset/experience required:Experience in system engineering for defence-standard hardware, firmware and software.Proficient Rational DOORS user, able to create and manage requirement modules as well as associated requirement verification modules, within formal change processes.Experience in Model Based Systems Engineering.Possess excellent analytical and problem-solving skills and the capability to write clear, concise engineering documentation.Have good interaction skills - verbal communication, listening and time management."
11,"Data Quality Analyst - Perm, Slough, hybrid £60k plus bonus, health",Permanent,"£60k + bonus, health & excellent benefits","Slough, UK",TD Group Limited,JS60002-589,"Data Quality Analyst - Permanent - Slough Our client is a highly regarded Global Financial services company. We are looking for an experienced Data Quality Analyst. Experience of tools such as Power BI, SQL and Excel are required. Knowledge of tools such as Trillium, Collibra & Tibco EBX or similar would be useful. The Data Quality Analyst will report directly to the Global Data Architect. You will work with the business to develop Data Quality solutions for a number of high-profile projects. Responsibilities will include:  Consult with Business and IT colleagues to lead understanding and improvement of the overall data quality Drive improvements in data quality and data governance by monitoring data quality metrics and data quality improvement plans to deliver continuous improvements to the business. Manage master data sets, troubleshooting data issues, identifying patterns and correlations among the various data sources, proposing and where appropriate implementing remediations and reporting progress Key areas for focus will be:  Data Quality Improvements Data Management & Analysis Digital Projects Support    Key Knowledge and skill areas are:  Advanced data management and database development skills Strong experience of Power BI and Excel Experience of SQL and reporting tools including data comparison and transformation Experience of technical project delivery eg systems development, data warehouse, BI, data migration Knowledge of modern data management tools and aptitude to learn new platforms Experience of using RDBMS and file-based data sources Expert communicator, experienced in building, maintaining and influencing relationships with a range of internal and external stakeholders at all levels Use negotiating and influencing skills to promote an idea or concept Analytical, precise, with an open questioning approach Lateral thinker with the ability to adapt quickly to new challenges DAMA and/or SCRUM certified data management professional Energetic with a passion to deliver and learn Fluent in business English with excellent written and verbal communication skills  This will be a permanent role. An excellent salary of circa £60,000 pa plus substantial bonus and benefits will be paid to the right candidate. TD Group Limited acts as an employment business for interim positions and an employment agency for permanent positions. TD Group is committed to equal opportunity and diversity."
12,Data Analyst - Google Analytics - Digital Analyst,Permanent,30k-45k,"Windsor, UK",Digital Skills Ltd,JSDATA ANALYST,"Data Analyst - Google Analytics - Digital Analytics Digital Skills are working closely with a holiday company, based in Windsor. The client provides a significant amount of direct retail commerce and are looking to grow their team with the addition of some excellent Web Analyst skills.  This role is suitable for a candidate that has a technical or mathematical focused degree, and/or has a technical background You will be a Digital Analyst helping to driving forward the expansion of our digital analytics. The client has a wealth of data at their fingertips and best-in-class software. You will have the responsibility for ensuring their digital tracking solutions are capturing the information needed to provide valuable insights across the business and drive innovation using data. Responsibilities This role is to drive growth and innovation across Marketing, Sales, Product, and Customer Service. You will be responsible for creating actionable reports and dashboards, supporting stakeholders in their decision making.  You will:  Providing ongoing insightful analysis of digital channel performance Push the capabilities of their analytics suite Ensure the necessary tagging, tracking and analytical functionality is managed Produce weekly/monthly reports and dashboards Work closely with Marketing, to understand business goals Use data analytics to drive evidence-based decision-making  Required Skills   Experience in Google Analytics In-depth understanding of the digital data collection Excellent knowledge of digital analytics Be competent in SQL Advanced user of Microsoft Excel  A demonstrable record of turning data insights into actionable solutions  The client is a vibrant and fun working environment, in the heart of Windsor. They offer flexible working with the role being a hybrid of office and remote working. You will be expected to be in the office at least three days per week and will be given full training and development in order to support your growth. You will be given an excellent salary for an entry level Digital Analyst and benefits include pension, healthcare plan, lots of holiday time and company travel discounts.  If this sounds of interest to you, please do not hesitate to apply. "
13,Data Analyst,Contract/Permanent,"£40,000 - £46,000 pa","Bracknell, Berkshire, UK",Harvey Nash IT Recruitment UK,JS-BBBH78199,"Data AnalystBracknell (London area)Fixed term contract - 12 months£40,000 - £46,000 paHarvey Nash are pleased to be recruiting for one of our Clients within Financial Services, a reputable wealth management and professional services group. We are looking to speak with candidates, who are interested in Data Analyst role (12 month fixed term contract), to be based in Bracknell.In this role you will provide insightful analysis and data on client (customer) activity across business. This is an exciting opportunity to help develop the understanding of the client and take the business to the next level.Your key responsibilities:Developing understanding of new and prospective clients, particularly around acquisition, retention and churnBuilding and manage a roadmap of analytics and insights projects collaborating with the rest of the Insights team and other stakeholders to do soBuilding statistical models to be able to perform descriptive, inferential, and predictive analyticsTo be successful in this role, you should have:Deep demonstrable knowledge of SQL and Python (knowledge of R an advantage)Working knowledge of PowerBI an advantageDegree in Mathematics, Statistics, Business, Analytics, or relevant fieldProven experience as Data Analyst (minimum 3 years of related professional experience or relevant degree)Data-warehousing principles and best practicesKnowledge of Statistical analysis techniques an advantageIf you are interested in this role, please apply!"
14,Data Engineer - Apache Airflow - Outside IR35,Contract,£400 - 500 per Day,"Bristol, England, UK",Proactive Appointments,JS18803JS2," Data Engineer - Apache Airflow - Outside IR35 Our client urgently requires an experienced Data Engineer to join their team on a contract basis, initially for 3 months with a view to extend. The Data Engineer will be able to work remotely, with spending at least one or two days per week on-site in Bristol.Please note, this assignment is Outside IR35. Data Engineer - Apache Airflow - Key Skills:  Apache Airflow - ideally implementation/deployment of the softwareData Pipelines - Automating SQL and Python ScriptsData IntegrationData Orchestration  Data Engineer - Apache Airflow  Due to the volume of applications received for positions, it will not be possible to respond to all applications and only applicants who are considered suitable for interview will be contacted.  Proactive Appointments Limited operates as an employment agency and employment business and is an equal opportunities organisation   We take our obligations to protect your personal data very seriously. Any information provided to us will be processed as detailed in our Privacy Notice, a copy of which can be found on our website "
15,Data Engineer - Apache Airflow - Outside IR35,Contract,£400 - 480 per Day,"Bristol, England, UK",Proactive Appointments,JS18803JS," Data Engineer - Apache Airflow - Outside IR35 Our client urgently requires an experienced Data Engineer to join their team on a contract basis, initially for 3 months with a view to extend. The Data Engineer will be able to work remotely, with spending at least one or two days per week on-site in Bristol.Please note, this assignment is Outside IR35. Data Engineer - Apache Airflow - Key Skills:  Apache Airflow - ideally implementation/deployment of the softwareData Pipelines - Automating SQL and Python ScriptsData IntegrationData Orchestration  Data Engineer - Apache Airflow  Due to the volume of applications received for positions, it will not be possible to respond to all applications and only applicants who are considered suitable for interview will be contacted.  Proactive Appointments Limited operates as an employment agency and employment business and is an equal opportunities organisation   We take our obligations to protect your personal data very seriously. Any information provided to us will be processed as detailed in our Privacy Notice, a copy of which can be found on our website "
16,"Data Warehouse Developer: SSIS, T-SQL, Kimball Methodology",Permanent,£35k - £59k per annum + Bonus & Benefits,"Bristol, UK",Reed Technology,JS-X3-707233,"Data Warehouse Developer: SSIS, T-SQL, Kimball Methodology, Data Warehousing Location: Bristol Working arrangements: 2 days per week onsite Salary: £35,000 - £59,000 DOE +bonus & Benefits  Working within a Data Warehousing team alongside the Data Analytics team you will be building and maintaining SSIS data warehousing solutions for the Analytics team to build reports from. The business are looking towards Azure data stack technologies in the future but for the foreseeable it will be predominantly SSIS based. Essential Skillset- SQL- T-SQL- SQL Server- SSIS- Data Warehousing Desirable Skillset:- Kimball Methodology- SSRS- Power BI- DAX- Azure SQL- PowerApps- Azure DevOpsIf you meet the above requirements and would like to be considered for this opportunity please apply with an updated CV ASAP as they are looking to move very quickly with this opportunity.Data Warehouse Developer: SSIS, T-SQL, Kimball Methodology, Data Warehousing"
17,Data Analyst - fully remote,Contract,£400 - £450 per Day,"England, UK",Spinks a trading division of Harvey Nash Plc,JS-BBBH77410,"Data Analyst - Contract, inside IR35, remote, £400-450 a day I'm looking for a Data Analyst to join a well-known Digital Agency that has worked across retail, tech, auto and finance, on a 3-6 month initial contract to work on a unique product pipeline.You will have:Experience using SQLExperience with Insight delivery through Excel/Powerpoint/other as well as report design and delivery experienceExperience with Python/Pyspark Exposure to Google Analytics and Power BI or similar reporting tools would be a bonusIf you are interested to find out more, apply now for immediate consideration, interview and start."
18,Data Engineer,Permanent,£30k - £45k per annum,"South East England, UK",Reed Technology,JS-X3-736091,"DATA CAPTURE | SOFTWARE ENGINEER | OPTICAL CHARACTER RECOGNITION | OCR | ABBYY | FINEREADER | IMAGE CAPTURE | SQL | .NET | PYTHON | PHP | DEVOPS | REMOTEData Capture Engineer - £45K A reputable SaaS business and solution provider is looking for Data Capture Engineer to provide development expertise and assistance with Data Capture using OCR, SQL, and Image Capture, fully remote paying up to £45k.Key aspects of the Data Capture Engineer role: Assist with Data Capture, OCR Workflow. Contribute to data updates and enhancements. Provide occasional 1st line support with existing customers. Liaise with member of DevOps and application development team.Experience required for the Data Capture Engineer: Knowledge of OCR - ABBYY, FineReader. Experience using SQL. Skills with Image Capture. Commercial 1st line support background. Exposure to .NET, Python or PHP is desirable.If this is applicable to you or you know of a colleague/friend that this may be of interest to, please get in touch and send an email DATA CAPTURE | SOFTWARE ENGINEER | OPTICAL CHARACTER RECOGNITION | OCR | ABBYY | FINEREADER | IMAGE CAPTURE | SQL | .NET | PYTHON | PHP | DEVOPS | REMOTE"
19,Data Governance Manager - Data Manager - Remote,Permanent,£53k to £61k,Remote - United Kingdom Wide,Curo Services,JSRL6415,"Data Governance Manager - Data Manager - Remote (RL6415) Location: Remote, UK Wide Salary: £53,000 to £61,000 (DOE) + 40 holidays including bank holidays & benefits Start Date: ASAP Please note this role unfortunately does not offer sponsorship. The Company:Our client is an established charity and has been serving society for over 150 years. They have helped hundreds of thousands of children to grow up happy and healthy and to fight to realise his/her dream of a world where no child is turned away. They have the largest number of services on the ground in the UK: with over 960 services in local communities. Their work includes reaching and helping children who have been sexually exploited, young people leaving the care system, children with a parent in prison and families struggling to cope. They find loving adoptive homes and foster placements for children in care. Last year they helped transform the lives of more than 240,000 of the UK's children, young people and families. They helped many more by campaigning to change policy and public opinion. The Role:Our client is looking for a Data Governance Manager to join their Data & Insight department. As part of this role, you will be responsible for leading the implementation of effective data governance across the business. You will be responsible for implementing the Data Governance Framework, leading data discovery, identifying and prioritising data domains, recruiting and supporting data owners, handlers, and stewards. You will work closely with the Data Quality Manager to ensure that they continually improve their data in line with agreed standards.The role will suit someone with a passion for data, someone who is resilient & adapts their approach to suit the needs of the business. The Ideal candidate will be educated to degree level in data management, computer science, analytics or other relevant discipline. A Professional qualification in data management is also required. This is a fully remote position and offers great career progression opportunities. You will be responsible for:  Implementing, reviewing, and refining the data governance framework, strategy and vision ensuring that these align with the Corporate Strategy. Developing and establishing an enterprise data governance implementation roadmap for the business, setting out strategic priorities for development of data capabilities across all business functions. Providing an integrated view of the data and related processes that produce, acquire, consume, and store data across the organisation. Delivering and embedding enterprise-wide data management, working closely with data architecture/engineering and the wider business teams. Establishing data governance in a complex regulated environment. Designing and maintaining enterprise data governance, for example DAMA methodology (DMBOK2). Leading and developing business facing governance processes and structures. Collaborative working in a leadership capacity, engaging with and influencing key stakeholders at a range of levels. Well-developed project management skills, preferably with experience of working in agile environments. Working with distributed data governance models. Strong experience in interviewing and group facilitation. Managing complex relationships, effectively mediating and communicating with stakeholders at all levels.  You will have experience in:  Educated to degree level in data management, computer science, analytics or other relevant discipline. Professional qualification in data management. Deep knowledge in additional areas of the data management industry (eg, MDM, Data Quality, Data Warehousing, Business Intelligence, Big Data, Cloud, Datamodelling). Strong verbal and written communication skills, with an ability to express complex technical concepts in business terms and complex business concepts in technical terms. Excellent written and verbal communication skills, including communicating with different audiences and the ability to communicate complex and/or difficult messages in a clear, concise and empathetic manner. Expertise with Data Catalogue tools such Microsoft Purview. Identifying and challenging organisational processes and developing solutions to simplify processes.  To apply for this Data Governance Manager permanent job, please click the button below and submit your latest CV. Curo Services endeavours to respond to all applications, however this may not always be possible during periods of high volume. Thank you for your patience. Curo Services is a trading name of Curo Resourcing Ltd and acts as an Employment Business for contract and temporary recruitment as well as an Employment Agency in relation to permanent vacancies."
20,Data Architect,Contract,£450/day,"England, UK",Roc Search Limited,JS-EH-0001,Data Architect - Contract - RemoteA key client of mine has an urgent requirement for Data Architects with FS/Investment management background for a cutting edge Data Transformation programmeThe role will be fully remote and looking to take someone on immediately.Ideally someone with 4+ years with data architecture experience and MUST have previous banking/wealth/insurance industry background.Day rate: £450/dayImmediate startsIf interested please apply through this advert at your earliest convenience for consideration.
21,Data Engineer - Contract - Fully Remote,Contract,£600-750pd Inside IR35,"Remote , UK",Anson McCade Ltd,JSAMC/BPY/043,Data Engineer - Contract - Fully Remote I am currently working with the UK's leading defence consultancy to recruit an SC Cleared Data Engineer. The Data Engineer will be working with Azure and will be going into a central government department to work on a project of high importance. Requirements:  Azure Data Bricks Python SC Clearance  What you can Expect:  6 months Rolling Fully Remote Inside IR35 Start date: ASAP  If you are a Data Engineer please apply if interested!
22,Data Centre | Platform Project Manager,Contract,£350 a Day,United Kingdom,Expert Resource,JSMB/ER - DATA CENTRE,"Data Centre/Platform Project Manager with good understanding/experience of Data Centre projects, Cloud/Platform projects.  Expert Resource requires a Data Centre/Platform Project Manager for a leading Consulting partner based in the UK on a fully remote basis, outside of IR35 for 6 months +.   You will be managing a number of projects including Data Centre Hardware/Facilities Refresh; VMWare/VCentre Upgrades/Consolidation; Global Database Optimisation.   THE ROLE:   Managing several projects that heavily involve data centres: cloud/platform technologies. Project planning/execution/cost models/reporting    REQUIRED SKILLS:   Good understanding/experience of Data Centre projects, Cloud/Platform projects Core PM skill set, ability, and evidence of juggling multiple projects at once Good communication skills are essential   Expert Resource is a bespoke specialist SAP, Oracle, Salesforce, Microsoft, and IT resource partner working with Clients on Contract, Permanent, and FTC opportunities globally. We pride ourselves on service and building strong professional relationships with candidates and clients in markets that we have a genuine interest in. "
23,Data Migration Manager | 6 months | Remote | Inside IR35,Contract,£550 - 600 per Day,"Remote work , UK",Opus Recruitment Solutions Ltd,JSBF-86,Data Migration Manager | 6 months | Remote | Inside IR35 Starting ASAP for an advertising company with a small team of Data Migration Engineers.Requirements:Data Migration ExperienceExperience leading a teamDesirable:Salesforce Experience Media/Marketing Experience Data Migration Manager | 6 months | Remote | Inside IR35 
24,Data Science University Course Creator,Contract,up to £600 p/d,"Remote  , UK",TwentyAI,JS,"Data Science - Private Equity backed Training Company - RemoteKey Details: Contract, Outside IR35, Up to £600 per day, 3 months, Remote  Key Skills: Python, Exposure to multiple industries, SQL A Private Equity backed, industry leading, education provider is looking for a highly experienced Data Scientist that is going to be able to devise and implement an intricate, commercially focused Data Science apprenticeship course.You will be using your in depth knowledge of Data Science to design multiple modules across the Data Science and Analytics space. This is an excellent opportunity for someone that is looking to make an impact on the future of Data Science and giving back to an industry. Requirements  Intricate knowledge of Python and its Data Science applications Exposure to multiple industries - transferable knowledge and experience A want to give back to the Data Science community Exposure to multiple varied technologies - SQL, Azure etc.  If this position sounds interesting to you then please send your CV to (see below) or call me."
25,Data Analyst,Contract,£514 - 667 per Day,"Remote work, UK",Elevate Direct,JSIDIBU-16626,"Data AnalystRate - £513.75 PAYE/£667 Umbrella per dayLocation- RemoteContract- 6 months Key Responsibilities:Overall Role Responsibilities:Using automated or manual tools to extract data from data sourcesRemoving corrupted data and fixing coding errors and related problemsDeveloping and maintaining databases, data systems - reorganizing data in a readable formatPerforming analysis to assess quality and meaning of dataFilter Data by reviewing reports and performance indicators to identify and correct code problemsUsing statistical tools to identify, analyse, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and predictionAssigning numerical value to essential business functions so that business performance can be assessed and compared over periods of time.Analysing local, national, and global trends that impact both the organization and the industryPreparing reports for the management stating trends, patterns, and predictions using relevant dataWorking with programmers, engineers, and management heads to identify process improvement opportunities, propose system modifications and other data improvementsPreparing final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to take important decisions based on various facts and trendsKey Experience/Skills:Experience and skills that are required for this role are as follows:Data analytics background preferably in ITIT Operations experienceUnderstanding of data sets from various sources in IT (eg Active Directory, SCCM, etc)"
